id,title,ingredients,instructions,cuisine,rating,image_path,num_ingredients,prep_time,cook_time,cuisine_encoded,is_japanese,is_italian
ja_000207,Authentic grilled with pickled ginger,"seaweed, sake, mentaiko, daikon radish, pickled ginger, teriyaki sauce","Heat oil in a pot. Add seaweed, sake, mentaiko and cook for 6 minutes. Season with salt and pepper to taste. Add daikon radish, pickled ginger and simmer for 7 minutes. Serve with wasabi. Garnish with fresh herbs.",japanese,4.5,ja_000207.jpg,6,19,85,1,1,0
ja_003401,Authentic tempura with shoyu,"pickled ginger, shoyu, kombu, edamame","Heat olive oil in a skillet. Add pickled ginger, shoyu, kombu and cook for 5 minutes. Season with salt and pepper to taste. Add edamame and simmer for 6 minutes. Serve served with rice. Garnish with sesame seeds.",japanese,4.9,ja_003401.jpg,4,48,90,1,1,0
ja_001884,Homestyle grilled with karashi,"pickled ginger, ginger, katsuobushi, karashi","Heat oil in a pan. Add pickled ginger, ginger, katsuobushi and cook for 7 minutes. Season with salt and pepper to taste. Add karashi and simmer for 11 minutes. Serve served with rice. Garnish with parmesan.",japanese,3.8,ja_001884.jpg,4,106,48,1,1,0
ja_004366,Homestyle steamed with bonito flakes,"teriyaki sauce, sesame oil, shoyu, azuki beans, mochi, dashi, daikon radish, bonito flakes","Heat oil in a skillet. Add teriyaki sauce, sesame oil, shoyu and cook for 5 minutes. Season with salt and pepper to taste. Add azuki beans, mochi and simmer for 11 minutes. Serve with wasabi. Garnish with sesame seeds.",japanese,3.6,ja_004366.jpg,8,18,32,1,1,0
it_000564,Traditional osso buco with black pepper,"chianti, pine nuts, pancetta, focaccia, nduja, ricotta, black pepper, capers","Heat olive oil in a skillet. Add chianti, pine nuts, pancetta and cook for 6 minutes. Season with salt and pepper to taste. Add focaccia, nduja and simmer for 10 minutes. Serve in tomato sauce. Garnish with lemon.",italian,3.6,it_000564.jpg,8,73,77,0,0,1
ja_004101,Homestyle tempura with seaweed,"enoki mushrooms, seaweed, tuna, dashi, edamame, sesame seeds, sesame oil","Heat butter in a pan. Add enoki mushrooms, seaweed, tuna and cook for 9 minutes. Season with salt and pepper to taste. Add dashi, edamame and simmer for 8 minutes. Serve served with rice. Garnish with sesame seeds.",japanese,3.6,ja_004101.jpg,7,111,96,1,1,0
ja_003307,Modern sashimi with pickled ginger,"mirin, soy sauce, dashi, matcha, tofu, sake, pickled ginger, mochi","Heat olive oil in a pot. Add mirin, soy sauce, dashi and cook for 6 minutes. Season with salt and pepper to taste. Add matcha, tofu and simmer for 12 minutes. Serve in soy-based sauce. Garnish with parmesan.",japanese,4.9,ja_003307.jpg,8,109,135,1,1,0
ja_004621,Traditional steamed with shoyu,"avocado, shoyu, sake, dashi","Heat butter in a skillet. Add avocado, shoyu, sake and cook for 6 minutes. Season with salt and pepper to taste. Add dashi and simmer for 5 minutes. Serve served with rice. Garnish with parmesan.",japanese,3.8,ja_004621.jpg,4,96,61,1,1,0
it_002943,Authentic marinara with pecorino romano,"parmesan, buffalo mozzarella, pecorino romano, ricotta","Heat butter in a pan. Add parmesan, buffalo mozzarella, pecorino romano and cook for 6 minutes. Season with salt and pepper to taste. Add ricotta and simmer for 6 minutes. Serve rustic style. Garnish with fresh herbs.",italian,3.5,it_002943.jpg,4,33,50,0,0,1
ja_002961,Authentic tempura with daikon radish,"daikon radish, nori, tofu, dashi","Heat butter in a pan. Add daikon radish, nori, tofu and cook for 5 minutes. Season with salt and pepper to taste. Add dashi and simmer for 13 minutes. Serve with dashi broth. Garnish with fresh herbs.",japanese,4.9,ja_002961.jpg,4,15,171,1,1,0
ja_001674,Authentic miso-glazed with shiitake mushrooms,"shiitake mushrooms, azuki beans, lotus root, yuzu, daikon radish","Heat oil in a skillet. Add shiitake mushrooms, azuki beans, lotus root and cook for 4 minutes. Season with salt and pepper to taste. Add yuzu, daikon radish and simmer for 10 minutes. Serve served with rice. Garnish with fresh herbs.",japanese,3.1,ja_001674.jpg,5,55,23,1,1,0
ja_002516,Homestyle miso-glazed with teriyaki sauce,"lotus root, soy sauce, wakame, avocado, teriyaki sauce, mentaiko, karashi, mirin","Heat olive oil in a skillet. Add lotus root, soy sauce, wakame and cook for 7 minutes. Season with salt and pepper to taste. Add avocado, teriyaki sauce and simmer for 14 minutes. Serve with wasabi. Garnish with sesame seeds.",japanese,3.4,ja_002516.jpg,8,99,42,1,1,0
ja_001901,Homestyle miso-glazed with shichimi togarashi,"ramen noodles, teriyaki sauce, katsuobushi, matcha, azuki beans, daikon radish, shichimi togarashi","Heat oil in a pot. Add ramen noodles, teriyaki sauce, katsuobushi and cook for 6 minutes. Season with salt and pepper to taste. Add matcha, azuki beans and simmer for 14 minutes. Serve in soy-based sauce. Garnish with sesame seeds.",japanese,4.6,ja_001901.jpg,7,55,98,1,1,0
it_001068,Classic pasta with ricotta,"parmesan, focaccia, ricotta","Heat oil in a pan. Add parmesan, focaccia, ricotta and cook for 4 minutes. Season with salt and pepper to taste. Add and simmer for 10 minutes. Serve al dente. Garnish with lemon.",italian,3.7,it_001068.jpg,3,86,63,0,0,1
it_003027,Authentic marinara with buffalo mozzarella,"buffalo mozzarella, tomatoes, cannellini beans","Heat butter in a pan. Add buffalo mozzarella, tomatoes, cannellini beans and cook for 3 minutes. Season with salt and pepper to taste. Add and simmer for 10 minutes. Serve with parmesan. Garnish with lemon.",italian,4.5,it_003027.jpg,3,15,120,0,0,1
it_004435,Rustic osso buco with pine nuts,"pine nuts, parmesan, capers, cannellini beans","Heat olive oil in a skillet. Add pine nuts, parmesan, capers and cook for 9 minutes. Season with salt and pepper to taste. Add cannellini beans and simmer for 8 minutes. Serve rustic style. Garnish with lemon.",italian,4.8,it_004435.jpg,4,38,104,0,0,1
it_003461,Homemade pizza with arborio rice,"mortadella, arborio rice, prosciutto, balsamic vinegar, sun-dried tomatoes","Heat butter in a pot. Add mortadella, arborio rice, prosciutto and cook for 6 minutes. Season with salt and pepper to taste. Add balsamic vinegar, sun-dried tomatoes and simmer for 12 minutes. Serve al dente. Garnish with parmesan.",italian,3.9,it_003461.jpg,5,92,18,0,0,1
it_001454,Rustic risotto with sun-dried tomatoes,"prosciutto, basil, buffalo mozzarella, mozzarella, ricotta, lemon, sun-dried tomatoes","Heat butter in a skillet. Add prosciutto, basil, buffalo mozzarella and cook for 9 minutes. Season with salt and pepper to taste. Add mozzarella, ricotta and simmer for 9 minutes. Serve in tomato sauce. Garnish with fresh herbs.",italian,2.9,it_001454.jpg,7,79,173,0,0,1
ja_001520,Traditional grilled with udon noodles,"rice, udon noodles, rice vinegar, lotus root, enoki mushrooms","Heat oil in a pan. Add rice, udon noodles, rice vinegar and cook for 7 minutes. Season with salt and pepper to taste. Add lotus root, enoki mushrooms and simmer for 12 minutes. Serve with dashi broth. Garnish with fresh herbs.",japanese,4.4,ja_001520.jpg,5,44,175,1,1,0
ja_004088,Traditional sashimi with mentaiko,"mentaiko, sesame seeds, matcha, nori, bamboo shoots, teriyaki sauce, karashi","Heat olive oil in a skillet. Add mentaiko, sesame seeds, matcha and cook for 4 minutes. Season with salt and pepper to taste. Add nori, bamboo shoots and simmer for 6 minutes. Serve in soy-based sauce. Garnish with fresh herbs.",japanese,4.8,ja_004088.jpg,7,36,178,1,1,0
ja_004911,Authentic sashimi with katsuobushi,"katsuobushi, wakame, ramen noodles, shiitake mushrooms","Heat oil in a pot. Add katsuobushi, wakame, ramen noodles and cook for 6 minutes. Season with salt and pepper to taste. Add shiitake mushrooms and simmer for 10 minutes. Serve tempura style. Garnish with lemon.",japanese,2.9,ja_004911.jpg,4,68,41,1,1,0
it_001440,Rustic marinara with tomatoes,"san marzano tomatoes, black pepper, porcini mushrooms, tomatoes","Heat butter in a pan. Add san marzano tomatoes, black pepper, porcini mushrooms and cook for 9 minutes. Season with salt and pepper to taste. Add tomatoes and simmer for 13 minutes. Serve with parmesan. Garnish with fresh herbs.",italian,4.7,it_001440.jpg,4,95,108,0,0,1
it_002799,Homemade pasta with san marzano tomatoes,"san marzano tomatoes, pine nuts, arborio rice, truffle oil","Heat butter in a pan. Add san marzano tomatoes, pine nuts, arborio rice and cook for 10 minutes. Season with salt and pepper to taste. Add truffle oil and simmer for 14 minutes. Serve with parmesan. Garnish with fresh herbs.",italian,4.3,it_002799.jpg,4,26,116,0,0,1
it_000335,Authentic pasta with prosciutto,"prosciutto, balsamic vinegar, garlic, porcini mushrooms, chianti, gorgonzola, capers, olive oil","Heat olive oil in a pot. Add prosciutto, balsamic vinegar, garlic and cook for 7 minutes. Season with salt and pepper to taste. Add porcini mushrooms, chianti and simmer for 8 minutes. Serve with olive oil. Garnish with parmesan.",italian,4.1,it_000335.jpg,8,84,87,0,0,1
ja_002036,Authentic grilled with daikon radish,"tuna, shiitake mushrooms, rice vinegar, daikon radish, mochi, soy sauce, sesame seeds, shichimi togarashi","Heat butter in a pot. Add tuna, shiitake mushrooms, rice vinegar and cook for 8 minutes. Season with salt and pepper to taste. Add daikon radish, mochi and simmer for 15 minutes. Serve with dashi broth. Garnish with sesame seeds.",japanese,4.9,ja_002036.jpg,8,88,178,1,1,0
ja_000922,Homestyle sashimi with sake,"sake, tuna, azuki beans","Heat butter in a pot. Add sake, tuna, azuki beans and cook for 8 minutes. Season with salt and pepper to taste. Add and simmer for 13 minutes. Serve in soy-based sauce. Garnish with sesame seeds.",japanese,2.7,ja_000922.jpg,3,116,178,1,1,0
it_002613,Authentic carbonara with truffle oil,"olive oil, truffle oil, black pepper, bresaola","Heat butter in a skillet. Add olive oil, truffle oil, black pepper and cook for 5 minutes. Season with salt and pepper to taste. Add bresaola and simmer for 5 minutes. Serve with olive oil. Garnish with lemon.",italian,2.5,it_002613.jpg,4,83,49,0,0,1
ja_000992,Traditional sashimi with bonito flakes,"daikon radish, sesame seeds, bonito flakes, nori","Heat oil in a pan. Add daikon radish, sesame seeds, bonito flakes and cook for 3 minutes. Season with salt and pepper to taste. Add nori and simmer for 5 minutes. Serve with wasabi. Garnish with parmesan.",japanese,3.0,ja_000992.jpg,4,29,83,1,1,0
ja_002268,Modern miso-glazed with katsuobushi,"avocado, rice, yuzu, mochi, katsuobushi, seaweed","Heat butter in a skillet. Add avocado, rice, yuzu and cook for 8 minutes. Season with salt and pepper to taste. Add mochi, katsuobushi and simmer for 12 minutes. Serve in soy-based sauce. Garnish with fresh herbs.",japanese,4.9,ja_002268.jpg,6,26,23,1,1,0
ja_000385,Classic grilled with wakame,"wakame, shiitake mushrooms, soy sauce, mirin","Heat oil in a pot. Add wakame, shiitake mushrooms, soy sauce and cook for 5 minutes. Season with salt and pepper to taste. Add mirin and simmer for 14 minutes. Serve with dashi broth. Garnish with fresh herbs.",japanese,2.8,ja_000385.jpg,4,91,167,1,1,0
ja_002231,Modern teriyaki with katsuobushi,"bamboo shoots, matcha, seaweed, shichimi togarashi, katsuobushi, lotus root","Heat olive oil in a pot. Add bamboo shoots, matcha, seaweed and cook for 5 minutes. Season with salt and pepper to taste. Add shichimi togarashi, katsuobushi and simmer for 6 minutes. Serve with dashi broth. Garnish with fresh herbs.",japanese,3.6,ja_002231.jpg,6,32,180,1,1,0
it_002870,Authentic risotto with marinara sauce,"capers, mascarpone, arborio rice, mortadella, marinara sauce, truffle oil, sun-dried tomatoes, guanciale","Heat oil in a pot. Add capers, mascarpone, arborio rice and cook for 7 minutes. Season with salt and pepper to taste. Add mortadella, marinara sauce and simmer for 15 minutes. Serve al dente. Garnish with fresh herbs.",italian,4.0,it_002870.jpg,8,44,164,0,0,1
it_003695,Classic risotto with cannellini beans,"lemon, marinara sauce, prosciutto, san marzano tomatoes, pasta, cannellini beans","Heat olive oil in a skillet. Add lemon, marinara sauce, prosciutto and cook for 3 minutes. Season with salt and pepper to taste. Add san marzano tomatoes, pasta and simmer for 7 minutes. Serve in tomato sauce. Garnish with lemon.",italian,3.0,it_003695.jpg,6,106,107,0,0,1
ja_002566,Traditional miso-glazed with soy sauce,"udon noodles, soy sauce, azuki beans","Heat oil in a pan. Add udon noodles, soy sauce, azuki beans and cook for 10 minutes. Season with salt and pepper to taste. Add and simmer for 8 minutes. Serve with dashi broth. Garnish with sesame seeds.",japanese,4.6,ja_002566.jpg,3,90,138,1,1,0
it_000129,Classic risotto with focaccia,"gorgonzola, focaccia, tomatoes","Heat butter in a pan. Add gorgonzola, focaccia, tomatoes and cook for 4 minutes. Season with salt and pepper to taste. Add and simmer for 14 minutes. Serve in tomato sauce. Garnish with parmesan.",italian,2.5,it_000129.jpg,3,114,104,0,0,1
ja_001896,Authentic teriyaki with edamame,"kombu, edamame, shichimi togarashi, wasabi","Heat olive oil in a skillet. Add kombu, edamame, shichimi togarashi and cook for 7 minutes. Season with salt and pepper to taste. Add wasabi and simmer for 14 minutes. Serve tempura style. Garnish with parmesan.",japanese,4.6,ja_001896.jpg,4,36,57,1,1,0
it_000546,Authentic carbonara with truffle oil,"ciabatta, bresaola, garlic, mascarpone, truffle oil, guanciale","Heat butter in a pot. Add ciabatta, bresaola, garlic and cook for 5 minutes. Season with salt and pepper to taste. Add mascarpone, truffle oil and simmer for 13 minutes. Serve al dente. Garnish with lemon.",italian,4.3,it_000546.jpg,6,83,53,0,0,1
it_002036,Homemade pizza with lemon,"nduja, rosemary, lemon, pecorino romano","Heat oil in a skillet. Add nduja, rosemary, lemon and cook for 6 minutes. Season with salt and pepper to taste. Add pecorino romano and simmer for 5 minutes. Serve rustic style. Garnish with parmesan.",italian,3.8,it_002036.jpg,4,19,33,0,0,1
ja_003231,Classic grilled with tempura batter,"salmon, tempura batter, udon noodles","Heat butter in a skillet. Add salmon, tempura batter, udon noodles and cook for 5 minutes. Season with salt and pepper to taste. Add and simmer for 14 minutes. Serve in soy-based sauce. Garnish with fresh herbs.",japanese,4.1,ja_003231.jpg,3,42,119,1,1,0
ja_002990,Classic sashimi with sesame seeds,"rice vinegar, sake, edamame, sesame seeds","Heat butter in a skillet. Add rice vinegar, sake, edamame and cook for 3 minutes. Season with salt and pepper to taste. Add sesame seeds and simmer for 11 minutes. Serve with wasabi. Garnish with sesame seeds.",japanese,3.2,ja_002990.jpg,4,35,139,1,1,0
ja_000148,Traditional sashimi with green onions,"green onions, udon noodles, tuna, wakame","Heat oil in a skillet. Add green onions, udon noodles, tuna and cook for 10 minutes. Season with salt and pepper to taste. Add wakame and simmer for 5 minutes. Serve with dashi broth. Garnish with lemon.",japanese,2.7,ja_000148.jpg,4,70,175,1,1,0
ja_004387,Traditional miso-glazed with tuna,"tempura batter, mentaiko, sesame oil, tofu, rice, enoki mushrooms, tuna, azuki beans","Heat butter in a skillet. Add tempura batter, mentaiko, sesame oil and cook for 5 minutes. Season with salt and pepper to taste. Add tofu, rice and simmer for 14 minutes. Serve served with rice. Garnish with parmesan.",japanese,4.3,ja_004387.jpg,8,110,173,1,1,0
